product_id,product_name,discounted_price,actual_price,discount_percentage,rating,rating_count,rating_weighted,category_1,category_2,rating_score,difference_price,neg,neu,pos,compound
B01LYU3BZF,Havells Ambrose 1200mm Ceiling Fan (Gold Mist Wood),2199.0,3190.0,0.31,4.3,9650.0,41495.0,Home & Kitchen,"Heating, Cooling & Air Quality",Satisfied,991.0,0.037,0.481,0.482,0.9959
B083RC4WFJ,"PrettyKrafts Laundry Bag / Basket for Dirty Clothes, Folding Round Laundry Bag,Set of 2, Black Wave",320.0,799.0,0.6,4.2,3846.0,16153.2,Home & Kitchen,Home Storage & Organization,Satisfied,479.0,0.106,0.436,0.458,0.9914
B09SFRNKSR,"FABWARE Lint Remover for Clothes - Sticky Lint Roller for Clothes, Furniture, Wool, Coat, Car Seats, Carpet, Fabric, Dust Cleaner, Pet Hair Remover with 1 Handle & 1 Refill Total 60 Sheets & 1 Cover",298.0,499.0,0.4,4.4,290.0,1276.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,201.0,0.0,0.476,0.524,0.9968
B07NRTCDS5,Brayden Fito Atom Rechargeable Smoothie Blender with 2000 mAh Battery and 3.7V Motor with 400ml Tritan Jar (Blue),1199.0,1499.0,0.2,3.8,2206.0,8382.8,Home & Kitchen,Kitchen & Home Appliances,Neutral,300.0,0.04,0.521,0.439,0.9908
B07SPVMSC6,Bajaj Frore 1200 mm Ceiling Fan (Brown),1399.0,2660.0,0.47,4.1,9349.0,38330.899999999994,Home & Kitchen,"Heating, Cooling & Air Quality",Satisfied,1261.0,0.064,0.502,0.434,0.9917
B09H3BXWTK,"Venus Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cooking Scale, 2 Year Warranty & Battery Included (Weighing Scale Without Bowl) Capacity 10 Kg, 1 Gm",599.0,2799.0,0.79,3.9,578.0,2254.2,Home & Kitchen,Kitchen & Home Appliances,Neutral,2200.0,0.061,0.523,0.416,0.9951
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),1499.0,1499.0,0.0,4.3,9331.0,40123.299999999996,Home & Kitchen,Kitchen & Home Appliances,Satisfied,0.0,0.175,0.509,0.316,0.9599
B08GJ57MKL,"Coway Professional Air Purifier for Home, Longest Filter Life 8500 Hrs, Green True HEPA Filter, Traps 99.99% Virus & PM 0.1 Particles, Warranty 7 Years (AirMega 150 (AP-1019C))",14400.0,59900.0,0.76,4.4,3837.0,16882.800000000003,Home & Kitchen,"Heating, Cooling & Air Quality",Satisfied,45500.0,0.021,0.684,0.295,0.9981
B009DA69W6,KENT Gold Optima Gravity Water Purifier (11016) | UF Technology Based | Non-Electric & Chemical Free | Counter Top | 10L Storage | White,1699.0,1900.0,0.11,3.6,11456.0,41241.6,Home & Kitchen,Kitchen & Home Appliances,Neutral,201.0,0.068,0.582,0.35,0.9756
B099PR2GQJ,HOMEPACK 750W Radiant Room Home Office Heaters For Winter,649.0,999.0,0.35,3.8,49.0,186.2,Home & Kitchen,"Heating, Cooling & Air Quality",Neutral,350.0,0.09,0.642,0.269,0.9844
B08G8H8DPL,"Bajaj Rex 750W Mixer Grinder with Nutri Pro Feature, 4 Jars, White",3249.0,6375.0,0.49,4.0,4978.0,19912.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,3126.0,0.069,0.49,0.442,0.9925
B08VGM3YMF,"Heart Home Waterproof Round Non Wovan Laundry Bag/Hamper|Metalic Printed With Handles|Foldable Bin & 45 Liter Capicity|Size 37 x 37 x 49, Pack of 1 (Grey & Black)-HEARTXY11447",199.0,499.0,0.6,4.1,1996.0,8183.599999999999,Home & Kitchen,Home Storage & Organization,Satisfied,300.0,0.111,0.459,0.43,0.9896
B08TTRVWKY,"MILTON Smart Egg Boiler 360-Watts (Transparent and Silver Grey), Boil Up to 7 Eggs",1099.0,1899.0,0.42,4.3,1811.0,7787.299999999999,Home & Kitchen,Kitchen & Home Appliances,Satisfied,800.0,0.031,0.431,0.539,0.9951
B07T4D9FNY,"iBELL SEK15L Premium 1.5 Litre Stainless Steel Electric Kettle,1500W Auto Cut-Off Feature,Silver with Black",664.0,1490.0,0.55,4.0,2198.0,8792.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,826.0,0.0,0.401,0.599,0.9935
B07RX42D3D,Tosaa T2STSR Sandwich Gas Toaster Regular (Black),260.0,350.0,0.26,3.9,13127.0,51195.299999999996,Home & Kitchen,Kitchen & Home Appliances,Neutral,90.0,0.082,0.493,0.425,0.9756
B08WRKSF9D,"V-Guard Divino 5 Star Rated 15 Litre Storage Water Heater (Geyser) with Advanced Safety Features, White",6499.0,8500.0,0.24,4.4,5865.0,25806.000000000004,Home & Kitchen,"Heating, Cooling & Air Quality",Satisfied,2001.0,0.086,0.684,0.23,0.9866
B09R83SFYV,"Akiara® - Makes life easy Mini Sewing Machine with Table Set | Tailoring Machine | Hand Sewing Machine with extension table, foot pedal, adapter",1484.0,2499.0,0.41,3.7,1067.0,3947.9,Home & Kitchen,Kitchen & Home Appliances,Neutral,1015.0,0.0,0.661,0.339,0.9877
B07989VV5K,"Usha Steam Pro SI 3713, 1300 W Steam Iron, Powerful steam Output up to 18 g/min, Non-Stick Soleplate (White & Blue)",999.0,1560.0,0.36,3.6,4881.0,17571.600000000002,Home & Kitchen,Kitchen & Home Appliances,Neutral,561.0,0.132,0.512,0.357,0.9477
B07FL3WRX5,"Wonderchef Nutri-blend Complete Kitchen Machine | 22000 RPM Mixer Grinder, Blender, Chopper, Juicer | 400W Powerful motor | SS Blades | 4 Unbreakable Jars | 2 Years Warranty | Online Recipe Book By Chef Sanjeev Kapoor | Black",3299.0,6500.0,0.49,3.7,11217.0,41502.9,Home & Kitchen,Kitchen & Home Appliances,Neutral,3201.0,0.052,0.59,0.357,0.9974
B0BPCJM7TB,"WIDEWINGS Electric Handheld Milk Wand Mixer Frother for Latte Coffee Hot Milk, Milk Frother for Coffee, Egg Beater, Hand Blender, Coffee Beater with Stand",259.0,999.0,0.74,4.0,43.0,172.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,740.0,0.072,0.398,0.53,0.995
